date,datetime,cash_type,card,money,coffee_name
3/1/2024,15:50.5,card,ANON-0000-0000-0001,38.7,Latte
3/1/2024,19:22.5,card,ANON-0000-0000-0002,38.7,Hot Chocolate
3/1/2024,20:18.1,card,ANON-0000-0000-0002,38.7,Hot Chocolate
3/1/2024,46:33.0,card,ANON-0000-0000-0003,28.9,Americano
3/1/2024,48:14.6,card,ANON-0000-0000-0004,38.7,Latte
3/1/2024,39:47.7,card,ANON-0000-0000-0005,33.8,Americano with Milk
3/1/2024,19:02.8,card,ANON-0000-0000-0006,38.7,Hot Chocolate
3/1/2024,39:03.6,card,ANON-0000-0000-0007,33.8,Americano with Milk
3/1/2024,22:01.8,card,ANON-0000-0000-0008,38.7,Cocoa
3/1/2024,23:15.9,card,ANON-0000-0000-0008,33.8,Americano with Milk
3/1/2024,29:17.4,card,ANON-0000-0000-0009,33.8,Americano with Milk
3/2/2024,22:07.0,card,ANON-0000-0000-0010,28.9,Americano
3/2/2024,30:35.7,cash,,40.0,Latte
3/2/2024,41:41.2,card,ANON-0000-0000-0011,33.8,Americano with Milk
3/2/2024,59:45.5,card,ANON-0000-0000-0012,33.8,Americano with Milk
3/2/2024,38:35.5,card,ANON-0000-0000-0013,28.9,Americano
3/2/2024,37:24.5,card,ANON-0000-0000-0014,33.8,Americano with Milk
3/2/2024,34:55.0,card,ANON-0000-0000-0004,28.9,Americano
3/3/2024,10:44.0,cash,,40.0,Latte
3/3/2024,27:18.6,card,ANON-0000-0000-0015,38.7,Latte
3/3/2024,33:56.1,card,ANON-0000-0000-0016,28.9,Cortado
3/3/2024,26:56.1,card,ANON-0000-0000-0012,28.9,Americano
3/3/2024,09:36.3,card,ANON-0000-0000-0017,38.7,Hot Chocolate
3/3/2024,06:40.3,card,ANON-0000-0000-0018,38.7,Cocoa
3/3/2024,08:45.9,card,ANON-0000-0000-0019,28.9,Cortado
3/3/2024,03:23.4,card,ANON-0000-0000-0020,33.8,Americano with Milk
3/3/2024,04:27.9,card,ANON-0000-0000-0020,33.8,Americano with Milk
3/3/2024,08:05.0,card,ANON-0000-0000-0020,38.7,Hot Chocolate
3/4/2024,03:52.0,card,ANON-0000-0000-0001,38.7,Latte
3/4/2024,54:51.0,card,ANON-0000-0000-0021,38.7,Latte
3/4/2024,05:16.2,card,ANON-0000-0000-0012,33.8,Americano with Milk
3/4/2024,04:37.7,card,ANON-0000-0000-0022,24.0,Espresso
3/5/2024,59:52.7,card,ANON-0000-0000-0001,38.7,Latte
3/5/2024,34:56.0,card,ANON-0000-0000-0023,38.7,Latte
3/5/2024,34:06.0,card,ANON-0000-0000-0024,38.7,Latte
3/5/2024,35:25.0,card,ANON-0000-0000-0025,38.7,Hot Chocolate
3/5/2024,36:28.6,card,ANON-0000-0000-0026,38.7,Cocoa
3/5/2024,37:13.7,card,ANON-0000-0000-0027,38.7,Hot Chocolate
3/5/2024,38:09.4,card,ANON-0000-0000-0009,38.7,Hot Chocolate
3/5/2024,56:15.8,card,ANON-0000-0000-0028,28.9,Cortado
3/5/2024,01:31.2,card,ANON-0000-0000-0028,38.7,Hot Chocolate
3/6/2024,30:27.1,cash,,35.0,Americano with Milk
3/6/2024,24:07.7,card,ANON-0000-0000-0012,28.9,Americano
3/6/2024,25:14.4,card,ANON-0000-0000-0012,28.9,Cortado
3/6/2024,52:01.8,card,ANON-0000-0000-0029,38.7,Cappuccino
3/6/2024,53:18.3,card,ANON-0000-0000-0029,38.7,Cappuccino
3/7/2024,08:58.9,cash,,40.0,Latte
3/7/2024,18:40.5,card,ANON-0000-0000-0030,38.7,Hot Chocolate
3/7/2024,03:59.0,card,ANON-0000-0000-0031,38.7,Latte
3/7/2024,25:44.0,cash,,40.0,Latte
3/7/2024,40:22.6,card,ANON-0000-0000-0032,28.9,Americano
3/7/2024,41:28.8,card,ANON-0000-0000-0033,33.8,Americano with Milk
3/8/2024,34:41.3,card,ANON-0000-0000-0012,28.9,Cortado
3/8/2024,22:28.7,card,ANON-0000-0000-0034,38.7,Cappuccino
3/8/2024,53:02.0,card,ANON-0000-0000-0035,28.9,Americano
3/8/2024,44:12.7,card,ANON-0000-0000-0012,28.9,Americano
3/8/2024,45:11.0,card,ANON-0000-0000-0033,28.9,Americano
3/8/2024,46:11.2,card,ANON-0000-0000-0012,33.8,Americano with Milk
3/8/2024,57:51.5,card,ANON-0000-0000-0036,38.7,Latte
3/8/2024,59:24.9,card,ANON-0000-0000-0037,38.7,Latte
3/9/2024,49:37.3,cash,,40.0,Hot Chocolate
3/9/2024,05:15.6,card,ANON-0000-0000-0038,24.0,Espresso
3/9/2024,07:38.3,card,ANON-0000-0000-0039,28.9,Americano
3/9/2024,09:47.7,card,ANON-0000-0000-0012,38.7,Cappuccino
